item,tier,multiplier,avg,min,capped,floored
35462,class-subclass-quality,24.8,16120,16120,0,0
35626,no-anchor,0,0,0,0,0
36454,class-subclass-quality,1.0725,343728,329464,0,0
36477,class-subclass-quality,0.6307,283402,265531,0,0
36491,class-subclass-quality,0.5971,262263,226930,0,0
36505,class-subclass-quality,0.6318,374934,315762,0,0
36519,class-subclass-quality,0.8205,381201,367394,0,0
36533,class-subclass-quality,0.7018,388108,335599,0,0
36547,class-subclass-quality,0.5243,313258,295364,0,0
36589,class-subclass-quality,0.7635,427218,423114,0,0
36603,class-subclass-quality,0.5332,291604,285792,0,0
36617,class-subclass-quality,0.6721,238462,211920,0,0
36645,class-subclass-quality,0.6606,218368,199408,0,0
36659,class-subclass-quality,0.8177,292091,273632,0,0
36673,class-subclass-quality,0.6307,294052,275510,0,0
36687,class-subclass-quality,0.5971,272345,235655,0,0
36701,class-subclass-quality,0.5243,292263,275568,0,0
36715,class-subclass-quality,1.3778,166898,158549,0,0
36899,no-anchor,0,0,0,0,0
36900,no-anchor,0,0,0,0,0
36914,no-anchor,0,0,0,0,0
36915,no-anchor,0,0,0,0,0
37100,no-anchor,0,0,0,0,0
37148,class-subclass-quality,162.0,5001155,5001155,1,0
37154,class-subclass-quality,1.9794,1372,1170,0,0
37174,class-subclass-quality,5.4959,1188978,953760,0,0
37175,class-subclass-quality,2.1663,551963,509610,0,0
37176,class-subclass-quality,3.5021,954196,811939,0,0
37244,class-subclass-quality,2.2414,722629,651447,0,0
37245,class-subclass-quality,5.4959,786993,631301,0,0
37372,class-quality,207.8,1039,830,0,0
37611,class-quality,10.7867,7512313,5592154,0,0
37697,class-subclass-quality,1.1754,841582,782274,0,0
37698,class-subclass-quality,2.1663,815745,753151,0,0
37699,class-subclass-quality,2.1663,550057,507850,0,0
37934,class-subclass-quality,100.0,3199300,3199300,1,0
38089,class-subclass-quality,10.8438,54,43,0,0
38090,class-subclass-quality,100.0,3199300,3199300,1,0
38270,class-subclass-quality,13.5906,29922,29922,1,0
38271,class-subclass-quality,13.5906,29922,29922,1,0
38272,class-subclass-quality,13.5906,29922,29922,1,0
38307,quality,12.5824,629122,500000,0,0
38442,class-subclass-quality,2.2414,475903,429025,0,0
38443,class-subclass-quality,2.2414,359773,324333,0,0
38444,class-subclass-quality,2.2414,239645,216039,0,0
38445,class-subclass-quality,2.2414,360756,325221,0,0
38538,class-subclass-quality,2.5,300000,290000,0,0
38625,class-subclass-quality,13.5906,2718,2712,0,0
38640,class-quality,7.0,84000,75000,0,0
38643,no-anchor,0,0,0,0,0
38916,no-anchor,0,0,0,0,0
39526,class-subclass-quality,13.5906,2718,2712,0,0
39527,class-subclass-quality,13.5906,2718,2712,0,0
39687,class-subclass-quality,3.9796,39796,37128,0,0
39917,class-quality,1.25,25000,23998,0,0
39932,class-quality,1.25,25000,23998,0,0
39945,class-subclass-quality,1.0,20000,20000,0,0
39950,class-subclass-quality,1.0956,21912,20600,0,0
39954,class-subclass-quality,1.0956,21912,20600,0,0
39958,class-subclass-quality,1.0956,21912,20600,0,0
39962,class-subclass-quality,1.0956,21912,20600,0,0
39977,class-subclass-quality,1.2659,25318,24900,0,0
39982,class-subclass-quality,1.2659,25318,24900,0,0
39988,class-subclass-quality,1.2659,25318,24900,0,0
39991,class-subclass-quality,1.2659,25318,24900,0,0
39992,class-subclass-quality,1.2659,25318,24900,0,0
40218,class-quality,16.5441,149,126,0,0
40219,class-quality,16.5441,149,126,0,0
40220,class-quality,16.5441,199,167,0,0
40221,class-quality,16.5441,99,84,0,0
40222,class-quality,16.5441,199,167,0,0
40223,class-quality,16.5441,149,126,0,0
40224,class-quality,16.5441,99,84,0,0
40225,class-subclass-quality,16.5441,116,91,0,0
40226,class-subclass-quality,16.5441,116,91,0,0
40227,class-subclass-quality,16.5441,149,117,0,0
40228,class-subclass-quality,16.5441,66,52,0,0
40229,class-subclass-quality,16.5441,132,104,0,0
40230,class-subclass-quality,16.5441,99,78,0,0
40231,class-subclass-quality,16.5441,66,52,0,0
40553,class-quality,10.7867,10224558,7611145,0,0
40727,class-subclass-quality,4.41,1420163,1048741,0,0
40776,class-quality,7.0,35000,31250,0,0
41091,class-quality,7.0,35000,31250,0,0
41093,class-quality,7.0,35000,31250,0,0
41111,class-quality,7.0,35000,31250,0,0
41118,class-quality,7.0,35000,31250,0,0
41147,class-subclass-quality,3.9796,39796,37128,0,0
41178,class-subclass-quality,11.4773,1090344,879313,0,0
41443,class-quality,1.25,50000,47996,0,0
41445,class-quality,1.25,50000,47996,0,0
41455,class-subclass-quality,1.0,40000,40000,0,0
41471,class-subclass-quality,1.2659,50635,49800,0,0
41474,class-subclass-quality,1.2659,50635,49800,0,0
41476,class-subclass-quality,1.2659,50635,49800,0,0
41478,class-subclass-quality,1.2659,50635,49800,0,0
41480,class-subclass-quality,1.2659,50635,49800,0,0
41486,class-subclass-quality,1.0956,43825,41200,0,0
41487,class-subclass-quality,1.0956,43825,41200,0,0
41493,class-subclass-quality,1.0956,43825,41200,0,0
41499,class-subclass-quality,1.0956,43825,41200,0,0
41750,class-quality,17.9366,3700323,3010752,0,0
41753,class-quality,17.9366,3700323,3010752,0,0
41804,class-subclass-quality,13.5906,2174,2170,0,0
41811,class-subclass-quality,13.5906,2174,2170,0,0
42170,class-subclass-quality,12.5,77475,77475,1,0
42171,class-subclass-quality,12.5,125000,125000,1,1
42474,class-subclass-quality,24.8,9920,9920,0,0
42953,class-quality,5.3309,133273,132734,0,0
43038,class-subclass-quality,3.9796,39796,37128,0,0
43236,class-subclass-quality,10.6477,106477,103044,0,0
43468,class-subclass-quality,3.355,3321,3138,0,0
43557,no-anchor,0,0,0,0,0
43558,no-anchor,0,0,0,0,0
43559,no-anchor,0,0,0,0,0
43560,no-anchor,0,0,0,0,0
43561,no-anchor,0,0,0,0,0
43562,no-anchor,0,0,0,0,0
43563,no-anchor,0,0,0,0,0
43614,class-subclass-quality,5.1042,17865,17792,0,0
43620,class-subclass-quality,5.1042,17865,17792,0,0
43621,class-subclass-quality,5.1042,17865,17792,0,0
43622,quality,1.355,4065,3552,0,0
43624,quality,2.6968,8090,7353,0,0
44254,class-subclass-quality,20.9732,9005348,6972919,0,0
44432,no-anchor,0,0,0,0,0
44475,class-subclass-quality,12.5,1000,996,0,0
44506,class-subclass-quality,24.8,744000,744000,0,0
44507,class-subclass-quality,24.8,620000,620000,0,0
44598,class-subclass-quality,3.9796,19898,18564,0,0
44604,class-quality,17.9366,96122,78210,0,0
44607,class-subclass-quality,10.6477,34073,32974,0,0
44608,class-subclass-quality,10.6477,18101,17518,0,0
44609,class-subclass-quality,10.6477,18101,17518,0,0
44627,quality,2.6968,2696829,2451084,0,0
44629,quality,2.6968,11976300,11976300,1,0
44646,class-quality,7.0,560,500,0,0
44700,class-subclass-quality,12.5,31250,31125,0,0
44716,class-quality,7.0,140000,125000,0,0
44743,class-subclass-quality,10.8438,40903,32517,0,0
44832,class-quality,7.0,31500,28125,0,0
44852,class-subclass-quality,12.5,312,311,0,0
44856,class-subclass-quality,13.5906,815,814,0,0
44915,no-anchor,0,0,0,0,0
44926,class-quality,10.7867,6709,4994,0,0
44948,class-quality,10.7867,6752,5027,0,0
45006,class-quality,7.0,280000,250000,0,0
45007,class-quality,7.0,280000,250000,0,0
45008,no-anchor,0,0,0,0,0
45009,class-quality,7.0,280000,250000,0,0
45087,no-anchor,0,0,0,0,0
45107,class-subclass-quality,19.6016,10979967,8558367,0,0
45120,class-quality,17.9366,430,350,0,0
45141,class-subclass-quality,18.0814,10438910,8673737,0,0
45167,class-subclass-quality,19.6016,15062174,11740255,0,0
45237,class-subclass-quality,18.0814,9553065,7937684,0,0
45247,class-subclass-quality,20.9732,6344274,4912427,0,0
45274,class-subclass-quality,13.7643,9534001,7573300,0,0
45276,class-subclass-quality,4.3042,861,816,0,0
45277,class-subclass-quality,4.3042,861,816,0,0
45280,no-anchor,0,0,0,0,0
45291,class-subclass-quality,28.2915,6272538,5150071,0,0
45301,class-subclass-quality,13.7643,4414751,3506842,0,0
45316,class-subclass-quality,13.7643,4333129,3442005,0,0
45322,class-subclass-quality,28.2915,9106837,7477175,0,0
45435,class-subclass-quality,28.2915,9383330,7704189,0,0
45450,class-quality,18.5024,12850292,10513281,0,0
45468,class-subclass-quality,28.2915,12187188,10006299,0,0
45480,class-subclass-quality,20.9732,6344274,4912427,0,0
45493,class-subclass-quality,28.2915,9558058,7847650,0,0
45504,class-subclass-quality,13.7643,8998473,7147905,0,0
45629,class-subclass-quality,1.9794,30700,26186,0,0
45680,class-subclass-quality,19.6016,7569898,5900379,0,0
45704,class-subclass-quality,28.2915,9444185,7754154,0,0
45709,class-subclass-quality,18.0814,4635298,3851490,0,0
45850,class-subclass-quality,4.41,24696,18237,0,0
45851,class-subclass-quality,4.41,24696,18237,0,0
45852,class-subclass-quality,4.41,24696,18237,0,0
45853,class-subclass-quality,4.41,24696,18237,0,0
45874,class-subclass-quality,20.9732,6344274,4912427,0,0
45901,class-subclass-quality,10.6477,34073,32974,0,0
45927,class-subclass-quality,28.2915,6229620,5114833,0,0
45975,class-subclass-quality,19.6016,7268367,5665349,0,0
45986,quality,2.6968,5394,4902,0,0
46009,class-subclass-quality,18.0814,4654139,3867145,0,0
46103,class-subclass-quality,20.9732,125839,97438,0,0
46104,no-anchor,0,0,0,0,0
46105,class-subclass-quality,20.9732,125839,97438,0,0
46399,class-quality,7.0,7280,6500,0,0
46401,class-quality,7.0,7280,6500,0,0
46402,class-quality,7.0,7280,6500,0,0
46403,class-quality,7.0,7280,6500,0,0
46970,class-subclass-quality,28.2915,9876479,8109090,0,0
47089,class-subclass-quality,28.2915,10098511,8291389,0,0
47105,class-subclass-quality,20.9732,6344274,4912427,0,0
47149,class-subclass-quality,20.9732,6344274,4912427,0,0
47223,class-subclass-quality,20.9732,6344274,4912427,0,0
47257,class-subclass-quality,28.2915,10177218,8356011,0,0
47278,class-subclass-quality,20.9732,6344274,4912427,0,0
47291,class-subclass-quality,28.2915,9952187,8171250,0,0
47297,class-subclass-quality,20.9732,6344274,4912427,0,0
47315,class-subclass-quality,20.9732,6344274,4912427,0,0
47556,no-anchor,0,0,0,0,0
48601,class-quality,17.085,7688,6000,0,0
48663,class-quality,10.7867,11534595,8586334,0,0
49334,quality,12.5824,251649,200000,0,0
49908,class-quality,5.3309,1492654,1486616,0,0
49967,class-subclass-quality,20.9732,6344274,4912427,0,0
49994,class-subclass-quality,28.2915,6886973,5654553,0,0
50001,class-subclass-quality,18.0814,11300580,9389703,0,0
50015,class-subclass-quality,13.7643,5044399,4007001,0,0
50020,class-subclass-quality,19.6016,13136436,10239232,0,0
50038,class-subclass-quality,13.7643,10483256,8327338,0,0
50057,class-quality,17.9366,628,511,0,0
50069,class-subclass-quality,18.0814,5545788,4608020,0,0
50175,class-subclass-quality,19.6016,8887027,6927019,0,0
50182,class-subclass-quality,20.9732,6344274,4912427,0,0
50444,class-quality,10.7867,10804463,8042825,0,0
50447,class-subclass-quality,20.9732,6344274,4912427,0,0
50449,class-subclass-quality,28.2915,10449693,8579728,0,0
50450,class-subclass-quality,13.7643,10206938,8107845,0,0
50451,class-subclass-quality,19.6016,8559249,6671531,0,0
50452,class-subclass-quality,20.9732,6344274,4912427,0,0
50453,class-subclass-quality,20.9732,6344274,4912427,0,0
50472,class-quality,10.7867,10346793,7702137,0,0
